Image_Name,Type,Width,Height,Aspect_Ratio
1-1.png,handwritten,1509,159,9.49
1-10.png,handwritten,1613,147,10.97
1-11.png,handwritten,1502,176,8.53
1-12.png,handwritten,1489,179,8.32
1-13.png,handwritten,1514,142,10.66
1-14.png,handwritten,1587,187,8.49
1-15.png,handwritten,1635,143,11.43
1-16.png,handwritten,1629,127,12.83
1-17.png,handwritten,1575,193,8.16
1-18.png,handwritten,1521,169,9.0
1-19.png,handwritten,1497,172,8.7
1-2.png,handwritten,1509,225,6.71
1-20.png,handwritten,1633,163,10.02
1-21.png,handwritten,1485,154,9.64
1-22.png,handwritten,1409,148,9.52
1-23.png,handwritten,1474,161,9.16
1-24.png,handwritten,1486,190,7.82
1-25.png,handwritten,1611,141,11.43
1-26.png,handwritten,1593,139,11.46
1-27.png,handwritten,1558,175,8.9
1-28.png,handwritten,1515,189,8.02
1-29.png,handwritten,1648,202,8.16
1-3.png,handwritten,1509,225,6.71
1-30.png,handwritten,1665,135,12.33
1-31.png,handwritten,1647,154,10.69
1-32.png,handwritten,1647,163,10.1
1-33.png,handwritten,1643,193,8.51
1-34.png,handwritten,1626,191,8.51
1-35.png,handwritten,1669,198,8.43
1-36.png,handwritten,1486,150,9.91
1-37.png,handwritten,1700,133,12.78
1-38.png,handwritten,1605,162,9.91
1-39.png,handwritten,1564,151,10.36
1-4.png,handwritten,1520,186,8.17
1-40.png,handwritten,1702,139,12.24
1-41.png,handwritten,1700,175,9.71
1-42.png,handwritten,1638,205,7.99
1-43.png,handwritten,1701,157,10.83
1-44.png,handwritten,1647,151,10.91
1-45.png,handwritten,1030,130,7.92
1-46.png,handwritten,1581,186,8.5
1-47.png,handwritten,1641,223,7.36
1-48.png,handwritten,1605,211,7.61
1-49.png,handwritten,1587,211,7.52
1-5.png,handwritten,1484,155,9.57
1-50.png,handwritten,1635,223,7.33
1-51.png,handwritten,1587,193,8.22
1-52.png,handwritten,1545,192,8.05
1-53.png,handwritten,1595,210,7.6
1-54.png,handwritten,1581,217,7.29
1-55.png,handwritten,1635,181,9.03
1-56.png,handwritten,1516,169,8.97
1-57.png,handwritten,1602,193,8.3
1-58.png,handwritten,1609,174,9.25
1-59.png,handwritten,1651,198,8.34
1-6.png,handwritten,1485,173,8.58
1-60.png,handwritten,1569,211,7.44
1-61.png,handwritten,1635,199,8.22
1-62.png,handwritten,1594,187,8.52
1-63.png,handwritten,1599,229,6.98
1-64.png,handwritten,1454,194,7.49
1-65.png,handwritten,1516,217,6.99
1-66.png,handwritten,1703,215,7.92
1-67.png,handwritten,1636,182,8.99
1-68.png,handwritten,1712,222,7.71
1-69.png,handwritten,1516,180,8.42
1-7.png,handwritten,1544,131,11.79
1-70.png,handwritten,1500,198,7.58
1-71.png,handwritten,1633,143,11.42
1-72.png,handwritten,1462,186,7.86
1-8.png,handwritten,1598,161,9.93
1-9.png,handwritten,1591,152,10.47
